Date,Open,High,Low,Close,Volume,macd_diff,macd_macd,macd_signal,sma_fast_ps,sma_slow_ps,position,macd_inv_sign,sma_conf,sma_inv_sign,macd_diff_conf,sl_flag_short,tp_flag_short,sl_flag_long,tp_flag_long,Complete,emg_pos,trades,log_returns_hold,multiple_hold_acum,macd_log_returns,macd_log_returns_net,macd_multiple_acum,macd_multiple_net_acum,ses,macd_simplecret_net_ses,macd_simple_ret,eff_lev,macd_simple_ret_net_lev,macd_simple_ret_net_lev_acum
2022-12-14-06:45,17767.9,17792.7,17762.9,17782.7,233.103,-0.4360556023364808,1.9789009878732031,2.414956590209684,17776.86,,0.0,0.0,0.0,0.0,-1.0,False,False,False,False,True,False,0,0.0008326160939621417,1.0010357852546958,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-06:50,17782.7,17792.3,17771.4,17780.1,508.257,0.028179308032226125,2.4572255522580235,2.4290462442257974,17778.513333333332,,0.0,1.0,0.0,0.0,1.0,False,False,False,False,True,False,0,-0.00014622020789331454,1.000889424294793,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-06:55,17786.7,17789.8,17771.4,17782.1,581.997,0.47658390209599855,3.1439220973697957,2.667338195273797,17778.933333333334,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.00011247898060907322,1.0010020096485643,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:00,17782.1,17787.1,17776.5,17783.0,461.175,0.6701736545155104,3.6725986770470627,3.0024250225315523,17780.48,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,5.0611414009344176e-05,1.0010526730577614,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:05,17783.2,17788.7,17781.9,17787.6,365.227,1.3118037344762579,4.9701306242459395,3.6583268897696817,17779.40666666667,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.0002586405641535522,1.0013116193714353,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:10,17785.8,17788.7,17784.2,17787.2,359.184,1.2276146880131673,5.499748921789433,4.272134233776265,17779.52666666667,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,-2.2487828463724113e-05,1.001289102300681,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:15,17787.2,17822.6,17780.5,17796.1,582.594,2.327679606432918,7.763653643425641,5.435974036992723,17780.653333333332,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.0005002346710726035,1.0017901071249633,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:20,17790.8,17796.1,17786.2,17795.3,191.502,2.1708453686818494,8.692242090015498,6.521396721333648,17782.260000000002,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,-4.49546800706923e-05,1.001745072983455,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:25,17795.3,17801.8,17790.6,17801.8,352.73,2.668414127167349,10.524017912084673,7.855603784917324,17783.666666666668,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.0003651982926834761,1.0021109753832116,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:30,17801.8,17803.6,17788.9,17790.4,443.955,0.48327550715369405,8.580517045647866,8.097241538494172,17784.84,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,-0.0006405898140511549,1.0014692388667152,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:35,17789.6,17799.9,17789.6,17796.1,537.485,0.26383375592487823,8.492992172381491,8.229158416456613,17785.666666666668,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.00032034620143823393,1.001790107124963,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:40,17796.1,17798.1,17791.9,17798.1,410.313,0.27840843486241695,8.64677106875024,8.368362633887823,17786.746666666666,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.00011237785943249113,1.0019026924787346,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:45,17798.1,17803.4,17790.1,17798.3,649.395,0.09618822561736096,8.512644972313865,8.416456746696504,17788.206666666665,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,1.1237091391428778e-05,1.0019139510141117,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:50,17796.2,17802.4,17792.5,17802.4,361.422,0.48082303285471895,9.137691295978584,8.656868263123865,17789.94,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.00023033255065936793,1.002144750989343,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-07:55,17802.4,17811.7,17790.1,17805.6,556.452,0.8864362833569643,9.986522688159312,9.100086404802347,17792.45333333333,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.00017973489151935308,1.002324887555377,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:00,17802.4,17831.2,17784.4,17805.6,443.316,0.7209315701387347,10.181483760010451,9.460552189871716,17793.98,,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,False,0,0.0,1.002324887555377,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:05,17805.6,17810.1,17771.0,17798.5,583.607,-0.7834471732383186,8.28538143001424,9.068828603252559,17795.206666666665,,0.0,-1.0,0.0,0.0,-1.0,False,False,False,False,True,False,0,-0.0003988304770581134,1.0019252095494888,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:10,17798.5,17810.1,17796.3,17801.6,438.234,-0.9680404583485576,7.616767915729724,8.584808374078282,17796.506666666664,,0.0,0.0,0.0,0.0,-1.0,False,False,False,False,True,False,0,0.0001741568146063877,1.0020997168478345,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:15,17798.7,17801.6,17793.4,17796.5,408.837,-1.884946013230758,5.757389354232146,7.642335367462904,17797.406666666666,,0.0,0.0,0.0,0.0,-1.0,False,False,False,False,True,False,0,-0.0002865321483389082,1.0018126241957177,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-08:20,17799.6,17810.1,17794.7,17804.0,294.101,-0.9356906124747386,6.238799448750797,7.174490061225535,17798.5,,0.0,0.0,0.0,0.0,-1.0,False,False,False,False,True,False,0,0.00042134240310994614,1.0022348192723602,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
