interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,multiple_macd_strategy,multiple_macd_strategy_net,trend_ref,start_opt,end_opt,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net
4h,15,13,18,1.2143798031719617,2.8208052322565087,2.34353378394464,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,13,23,1.2143798031719617,1.9488876159267072,1.6218977203541596,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,13,28,1.2143798031719617,2.5143005484678205,2.103146403530739,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,13,33,1.2143798031719617,2.367569805804674,1.9837806858295863,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,15,13,38,1.2143798031719617,2.4361117517313047,2.0412118070430174,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,3,3,1.2143798031719617,1.187494103620738,0.6185827093495443,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,3,8,1.2143798031719617,1.7348707314384226,1.1359738282381893,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,3,13,1.2143798031719617,2.7092785624851703,1.8988770305557223,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,3,18,1.2143798031719617,2.2819495176958986,1.665997702271763,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,3,23,1.2143798031719617,2.124772167909294,1.575170896147398,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,3,28,1.2143798031719617,1.9177572388188115,1.4217031990943998,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,3,33,1.2143798031719617,2.453789999083802,1.8471392909535007,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,3,38,1.2143798031719617,2.60805948989624,1.986779148572332,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,8,3,1.2143798031719617,1.7348707314384226,1.1359738282381893,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,8,8,1.2143798031719617,2.7067657987774822,2.027203216077082,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,8,13,1.2143798031719617,2.063849282016258,1.648881559655395,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,8,18,1.2143798031719617,2.433206243073007,1.9672531536140831,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,8,23,1.2143798031719617,2.4202854354889327,1.9768750111053923,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,8,28,1.2143798031719617,2.1402303123611794,1.7600594306644115,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,8,33,1.2143798031719617,2.7132888988197617,2.254208878824086,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,8,38,1.2143798031719617,2.1715034228155488,1.822593984705738,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,13,3,1.2143798031719617,2.7092785624851703,1.8988770305557223,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,13,8,1.2143798031719617,2.063849282016258,1.648881559655395,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,13,13,1.2143798031719617,2.7992692483284265,2.309875613247537,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,13,18,1.2143798031719617,1.937051693956096,1.612047662964731,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,13,23,1.2143798031719617,2.5990055046867617,2.185119350886842,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,13,28,1.2143798031719617,2.421104473367832,2.0424836683306293,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,13,33,1.2143798031719617,2.0356432238661744,1.734914283681949,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,13,38,1.2143798031719617,1.659349893170995,1.419029516801768,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,18,3,1.2143798031719617,2.4616193075933963,1.7941167706066508,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,18,8,1.2143798031719617,2.5747417547369085,2.0781479099171776,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,18,13,1.2143798031719617,2.0729186094304377,1.7221872453354905,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,18,18,1.2143798031719617,2.293791505828951,1.9219620369490584,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,18,23,1.2143798031719617,1.803083404508808,1.5314932116745374,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,18,28,1.2143798031719617,1.7154942123240495,1.464549872254804,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,18,33,1.2143798031719617,1.601970527662005,1.3816585415268872,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,20,18,38,1.2143798031719617,1.826916288022247,1.5891233132463758,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,3,3,1.2143798031719617,1.2917194239377234,0.6791982001241553,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,3,8,1.2143798031719617,1.6817163799150745,1.1392655034016987,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,3,13,1.2143798031719617,2.7401538160534527,1.9468232213661925,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,3,18,1.2143798031719617,2.382250054886665,1.763047877459072,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,3,23,1.2143798031719617,2.104555606630663,1.5735062127410844,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,3,28,1.2143798031719617,2.3641565121343167,1.7826949247294217,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,3,33,1.2143798031719617,3.0119884499749623,2.329873525416671,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,3,38,1.2143798031719617,2.6349549728841906,2.048650578490152,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,8,3,1.2143798031719617,1.6817163799150745,1.1392655034016987,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,8,8,1.2143798031719617,2.354216182949584,1.805646116558444,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,8,13,1.2143798031719617,2.7132986612066325,2.178836947149888,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,8,18,1.2143798031719617,2.324626067737084,1.8890788241199328,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,8,23,1.2143798031719617,2.055972198659515,1.6907681554338505,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,8,28,1.2143798031719617,2.318922231945808,1.939717570819564,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,8,33,1.2143798031719617,2.185495056332447,1.825003050223255,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,8,38,1.2143798031719617,2.4027265585785367,2.033885546630965,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,13,3,1.2143798031719617,2.944029887081024,2.088118979043942,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,13,8,1.2143798031719617,2.8711266773906825,2.301658756755061,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,13,13,1.2143798031719617,2.472424841171427,2.057594384033348,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,13,18,1.2143798031719617,2.935844888280476,2.4683177719383305,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,13,23,1.2143798031719617,2.168570647818468,1.835674759451395,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,13,28,1.2143798031719617,1.842542465972592,1.5730133705950833,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
4h,25,13,33,1.2143798031719617,1.956493159513064,1.687425229492419,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
