macd_slow_opt,macd_fast_opt,macd_signal_opt,sma_slow,sma_fast,sl_opt,tp_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,success_trades_net,failure_trades_net,success_trades_net_pct,failure_trades_net_pct,total_trades,start_opt,end_opt
20,14,20,180,50,0.001,0.07999999999999999,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0250043437256227,0.05969768465104688,0.6559902528920823,0.09100392023792434,1.019484144377864,0.046644482612278985,0.6560767427184427,0.07109607699094525,40,68,37.0,63.0,108,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.08499999999999999,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0250043437256227,0.05969768465104688,0.6559902528920823,0.09100392023792434,1.019484144377864,0.046644482612278985,0.6560767427184427,0.07109607699094525,40,68,37.0,63.0,108,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.001,0.09,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0250043437256227,0.05969768465104688,0.6559902528920823,0.09100392023792434,1.019484144377864,0.046644482612278985,0.6560767427184427,0.07109607699094525,40,68,37.0,63.0,108,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.02,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0851103401081683,0.19744246614237698,0.6525020764326644,0.3025928549098682,1.0792124747717458,0.18426840112176834,0.6525683085322442,0.282374118866153,40,68,36.7,62.4,109,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.025,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.1092069734168302,0.25053339333997837,0.6524999953972589,0.3839592262179974,1.1033436283697249,0.23772191726489142,0.6525745524372931,0.364283155659421,40,66,37.7,62.3,106,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.03,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.1241007219016481,0.28277434143494584,0.6535756331701544,0.4326574111451417,1.1181586474663365,0.26996286535985825,0.6536582866458692,0.41300304895563167,42,64,39.6,60.4,106,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.034999999999999996,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.1548693476126737,0.34804857482264784,0.6535720361709841,0.5325328434516944,1.1488795122462943,0.33547882471124196,0.6536540138553278,0.5132360814745841,41,63,39.4,60.6,104,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.039999999999999994,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.2113539932103983,0.4634744296387457,0.6535638534273557,0.7091494231332385,1.2050711950698678,0.45090467952734026,0.6536421547997212,0.6898341488784477,42,62,40.4,59.6,104,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.045,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.000469138719786,0.0011337448917045322,0.6537080858137451,0.001734329001442946,0.9949815698153264,-0.012161183110744109,0.6538015568182747,-0.018600725226055607,43,67,39.1,60.9,110,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.049999999999999996,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0291708815939984,0.069503514536726,0.6537076640201371,0.10632201267046026,1.0235258837538477,0.056208586534276274,0.6537999198848609,0.08597215267963788,43,67,39.1,60.9,110,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.05499999999999999,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.0331826460593911,0.07890764778298198,0.6537355331428643,0.12070270588418189,1.0275156437084765,0.06561271978053312,0.6538286104836668,0.10035155808185942,42,68,38.2,61.8,110,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.06,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.047704126438989,0.11264534263222496,0.6540637020816763,0.17222380981196592,1.041957473830916,0.0993504146297758,0.6541557073626157,0.15187578968061077,42,68,38.2,61.8,110,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.06499999999999999,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.128004495846415,0.2911543088926506,0.6540574100084433,0.4451509981194037,1.1220417857910858,0.27834283281756317,0.6541432295709175,0.4255074733405725,42,64,39.6,60.4,106,2022-01-01-00:00,2022-06-01-00:00
20,14,20,180,50,0.002357142857142857,0.06999999999999999,0.6678113302740932,-0.9759509837266003,0.673414487294291,-1.4492574812993246,1.1342837700472155,0.30457294987022926,0.6543648181694857,0.46544823531656077,1.1282878673126417,0.2917614737951417,0.6544504756830802,0.4458113862483128,42,64,39.6,60.4,106,2022-01-01-00:00,2022-06-01-00:00
